con_Adelaide.xml
==============================
talk="p": 	Hey, Adelaide! How are you holding up?
talk="n": 	I've told you many times to call me Lord Gaben. Please make that correction in the future.
talk="p": 	Sorry, Gabe. But I can't do that. It's too weird, you know?
talk="n": 	Whatever! What business do you have here?
talk="p": 	I was just dropping by--
talk="n": 	If you came here for nothing, then leave! I'm busy coding.
talk="p": 	Fine. Have a wonderful day, Lord Gaben.
talk="p": 	Hey, Gabe. I need a favor. (What have I gotten myself into?)
talk="n": 	From me? Get someone else to do it. I've got a lot of tasks in my queue.
talk="p": 	It's something only you can do. It's hacking into the school system to change a grade.
talk="n": 	That's child's play. You can't even do that? What a scrub.
talk="p": 	Look, Gabe. I really need you to do this for me. Will you do it?
talk="n": 	Asking for a favor without a reward? I'm not one of your good friends, lass. ...But fear not. Lord Gaben shall take pity on your soul. If you can swap something of equal value, surely I, the mighty and all powerful Lord Gaben, shall provide.
talk="p": 	I am in your debt, Lord and savior of all the land. Without You, who knows what the world would become?
talk="p": 	Give me something reasonable I can do in exchange.
talk="n": 	Processing...
talk="n": 	Your search returned 3 items. Good thing my task list is always sorted. I've got a program that I need a 3D model for, which requires a real life person to convert into data.
talk="p": 	I find that weird how that's at the top of your list. Next item, please.
talk="n": 	I've got approximately 8,694,323 papers that need converting into the superior storage medium, computers.
talk="p": 	...What's the last item?
talk="n": 	To pick up the latest MSI GeForce GTX 970 from the closest hardware store. My SocioEconomic Level Detector and Analyzer (SELDA) has returned a report stating that you are too poor to complete the last task.
talk="n": 	The easiest one is the 3D model job, but you are free to do any other one in exchange for my 1337 hacking skills.
talk="p": 	Sounds like a plan. (He's creepy, I tell ya. The last item seems like the most reasonable, but how can I get something so expensive?)
talk="p": 	What exactly are you doing now?
talk="n": 	I'm calculating the market to find out the perfect time I should bless my followers with a Steam Sale.
talk="p": 	Sounds like an important job.
talk="n": 	You don't even know how hard it is to be a computer genius. My processor, despite being overclocked, nearly overheats every day.
talk="p": 	Who do you work for?
talk="n": 	A variety of clients, some of which I can't disclose to you. A big client in the local area, called Lambda Drinks Corporation, pays me the big dollars for my cybersecurity protection. If you think I'm rich, they're at least x^2 as much rich.
talk="p": 	Oh, you mean the people who live in the huge mansion in the north of town? I know them.
talk="n": 	You should. They're the best known drink company on this entire planet! They basically have a monopoly in the industry. Put a whole lot of money into computer technology research too.
talk="p": 	I see why you work for them.
talk="p": 	I've got your... TRI GuNiche 302, whatever, graphics card for you.
talk="n": 	You mean the MSI GeForce GTX 970? Lame scrub. You can't be serious...
talk="n": 	Whoa! Incredible! This was just released, having a high release price yet you still managed to retrieve it. I guess my SELDA needs adjusting...
talk="n": 	Lord Gaben is impressed. He shall perform one reasonable deed of your choice.
talk="p": 	I'd never ask for anything in return for such a good friend of mine.
talk="n": 	Don't be silly, moral. Lord Gaben has no friends. No one can handle his godly powers.
talk="n": 	I told you from the beginning we would conduct a swap, not adding a favor to the queue.
talk="p": 	I'd like you to hack into the school system and change a grade.
talk="n": 	That's what you want still? I guess I can do that.
talk="n": 	I will commence the hacking now. Systems, power up! Let's break their puny firewall!
talk="n": 	It is finished. He now has a B in history. Now, be gone! I've got important work to do.
talk="p": 	Okay, okay.
talk="n": 	Didn't I tell you I'm busy? Leave me!
talk="p": 	Thanks for your help, Gabe.
talk="n": 	Is that all you came here for? To say thanks? There's no need, as we both benefited from the trade.
talk="p": 	It's just nice to say "thank you," okay? I'll be leaving now.
talk="n": 	Emere, ...The Lord thanks you for being of assistance. He'd not be against trading in the future.
talk="p": 	I'll keep that in mind.
con_aidMoth.xml
==============================
talk="n": 	Emere! Make yourself at home. Sorry we don't have any place for you to sit.
talk="p": 	That's quite alright. I understand how hard it is to buy back all that furniture.
talk="n": 	I'm glad you're here. Adelaide needs someone like you to cheer her up after she lost all of her belongings.
talk="p": 	I'm happy to do so. She's a great friend to me.
con_bar1.xml
==============================
talk="n": 	Welcome to Nulato's Country Kitchen and Bar!
con_bar2.xml
==============================
talk="n": 	Ya lookin' to orda?
talk="p": 	Nah. I'm just looking at the menu.
talk="n": 	Take ya time.
talk="n": 	It's always busy here.
con_bar3.xml
==============================
talk="n": 	Waitress, bring me another glass of beer!
talk="n": 	What are you looking at?
talk="p": 	I didn't even look at you.
talk="n": 	Careful what you say and do. The eye always watches you.
con_bar4.xml
==============================
talk="n": 	The fried chicken here is delicious!
talk="n": 	I can't get enough of these hot fries!
con_barn.xml
==============================
talk="p": 	Where are all the animals?
talk="n": 	Sadly, they all ran away when I left the door open one day. I'm buying new ones soon.
talk="p": 	Where did they go?
talk="n": 	Into the forest. They're gone now.
talk="p": 	What's the bird doing here?
talk="n": 	I don't know. He flew in here one day and I can't seem to get him to leave. He only does when he needs to eat.
talk="p": 	You don't feed him?
talk="n": 	Nope. He doesn't provide anything for me except a headache. He can fend for himself.
con_casino.xml
==============================
talk="n": 	C'mon! Papa needs a new pair of shoes! Shoot! This thing's rigged.
talk="n": 	You're not old enough to gamble. What are ya doin' here?
con_casino2.xml
==============================
talk="p": 	Why do you gamble?
talk="n": 	I can't find a job. It's the only way I have to feed my family. I take out loans to try to make some money. I'm near bankrupt.
talk="n": 	Excuse me! Jin. I'd like 10 more chips for this poker game.
talk="Jin": 	You got it!
con_ch1.xml
==============================
talk="n": 	I'm saving a seat for my friend.
talk="n": 	The Great Goddess blesses us with farm surpluses every year. How gracious of Her!
con_ch2.xml
==============================
talk="n": 	You a believer?
talk="p": 	No.
talk="n": 	Then what do you believe?
talk="p": 	I believe in evolution.
talk="n": 	Oh! How unfortunate that you fail to see the brilliant light the Goddess has given you!
talk="n": 	May the Goddess be with you.
con_ch3.xml
==============================
talk="n": 	This church is so beautiful! The Goddess must be pleased.
talk="n": 	I wonder what the sermon today will be about?
con_ch4.xml
==============================
talk="n": 	Be still and know the Goddess is here. She will protect you.
talk="n": 	The Cerzan holds the key to understanding the universe.
con_f1.xml
==============================
talk="n": 	You've found yourself at the pitiful town of Fujita. Watch your wallet.
talk="n": 	The journey to this town is long and so not worth it. There is nothing good here.
con_f2.xml
==============================
talk="n": 	Please feed me. I'm so hungry. Please.
talk="p": 	I don't have any food or money, sorry.
talk="n": 	I'm dying.
talk="n": 	I'm just going to lie down for a while...
con_f3.xml
==============================
talk="n": 	I've been working on this railroad since I could walk. You could say I'm used to it, but I will never be.
talk="n": 	Got any spare change? I'd kill for some food.
talk="p": 	I left my wallet at home. (I don't like that look in your eyes.)
con_f4.xml
==============================
talk="n": 	So many railcars come in to trade illegal goods on the black market. Our job is to load and unload them all.
talk="n": 	Been down the rail track before? It's kind of interesting. But not really.
con_f5.xml
==============================
talk="n": 	That big building is the home of the Seraphim Ministry, the largest gang in the whole province.
talk="n": 	I'm sick of looking at this bleak scenery. I want to take a trip to Ginga or something and see the beautiful trees I've heard grow there.
con_fHouse.xml
==============================
talk="n": 	Who let you in?
talk="n": 	Come to laugh at our small house?
con_fHouse2.xml
==============================
talk="n": 	The stress of always fighting for survival gets to people.
talk="n": 	You look well dressed. Come to take a look at the peasants are you?
con_gBoy.xml
==============================
talk="n": 	Who're you looking at? Ya wanta fight me?
talk="p": 	No, I just thought you look a bit small for this profession.
talk="n": 	I'll fight ya! Yes, sir! I will! Let me at ya!
talk="n": 	It's tough. Gangs are relentless. But a job's a job.
con_gGen.xml
==============================
talk="n": 	If you look at the crime industry here in Fujita, you'll see and industry as prosperous as agriculture or construction in another city. That's crazy.
talk="n": 	When's the next operation? I'm running out of money for food.
con_gInn.xml
==============================
talk="n": 	Welcome! You want to stay the night?
talk="p": 	I'm all set.
talk="n": 	Okay...
talk="n": 	Business is slow for some reason.
con_gInn2.xml
==============================
talk="n": 	Ah, these beds are comfy!
talk="n": 	I love staying at inns!
con_gInn3.xml
==============================
talk="n": 	Inns always serve horrible food. I always go to the local bar instead when I'm staying in Nulato.
talk="n": 	Complimentary soap? No. Free wi-fi? No. This inn doesn't have anything.
con_lib.xml
==============================
talk="n": 	Books expand the mind and build a temple of knowledge in your brain.
talk="p": 	You should become a writer. You've got the diction down.
talk="p": 	Favorite genre?
talk="n": 	I love reading mystery novels. It really gets your brain to think critically and question everyone's motive.
con_lib2.xml
==============================
talk="n": 	I can't understand the Naibian alphabet here. I wonder if there are any books in my language.
talk="n": 	I traveled all the way here from Yarl because I heard what a large selection this library has.
con_m1.xml
==============================
talk="n": 	Graveyards are sad.
talk="p": 	Sure are.
talk="n": 	I'm looking for the first Mourilyan mayor's grave, but I can't seem to find it.
talk="p": 	Huh. Is it buried in a special location?
talk="n": 	Perhaps...
con_m10.xml
==============================
talk="n": 	Call my cellphone.
talk="p": 	What?
con_m11.xml
==============================
talk="n": 	What band do you listen to? I want some new material.
talk="p": 	I listen to a local artist named Kalliope. She's got a really beautiful voice.
talk="n": 	Hmm. I'll give her a try sometime.
talk="n": 	I love listening to music! One of my favorite bands is Emerson Lake and Palmer.
con_m12.xml
==============================
talk="n": 	If you head southwest, you'll arrive in Nulato.
talk="n": 	Welcome to Mourilyan!
talk="p": 	I live here.
talk="n": 	So sorry!
con_m2.xml
==============================
talk="n": 	There's quite a party going on in the mansion. I can't wait to go inside.
talk="n": 	I've got to fix my hair before I go inside the mansion. Looks are everything with rich people.
con_m3.xml
==============================
talk="n": 	I should really wear shoes. The rocks are burning my feet!
talk="n": 	Most people don't say much. They've only got about one or two things on their minds. Poor souls.
con_m4.xml
==============================
talk="n": 	This uniform is so constricting.
talk="n": 	Protecting the people is my duty. I will make sure the whole province of Naibu is safe!
talk="p": 	That's a big goal for one person.
con_m5.xml
==============================
talk="n": 	Ah, another fine day in Mourilyan.
talk="n": 	Raisins!
talk="p": 	Hello to you too.
con_m6.xml
==============================
talk="n": 	This park is so nice! I'm glad the mayor allows the townsfolk to use it.
talk="n": 	Ah, flowers, trees, what more could anyone want?
talk="n": 	Being one with nature has lots of benefits.
con_m7.xml
==============================
talk="n": 	How do you do?
talk="p": 	I do just like anyone else.
talk="n": 	Do-dodo! Good answer.
talk="n": 	I've got a joke for you. Why does the ocean sing?
talk="p": 	Why?
talk="n": 	Because it wanted to become an opera singer but was born into the wrong life.
talk="p": 	Nice anti-joke.
con_m8.xml
==============================
talk="n": 	You live in a rich town.
talk="p": 	I am aware.
talk="n": 	All you need is love.
talk="p": 	Indeed.
con_m9.xml
==============================
talk="n": 	I want your opinion. How does this hat suit me?
talk="p": 	Honestly, it looks a bit funky.
talk="n": 	Everyone says that! Can't someone humor me and tell me it looks good?
talk="n": 	Look at that guy, selling spices. He looks like he comes from a far off land.
con_mansionM.xml
==============================
talk="n": 	Whose got more money. Me or you? I bet a million it's me.
talk="n": 	I look so dapper in this suit.
talk="n": 	I own over 10 cooperations!
talk="n": 	Would any lady care to dance with the man who runs the stock market?
talk="n": 	If you don't have money, get out of my sight.
talk="n": 	Guess what?
talk="p": 	What?
talk="n": 	I'm rich!
talk="p": 	Wow. Big surprise.
talk="n": 	The food provided is subpar. My lobster is too small and has too much gooey stuff on it!
talk="n": 	I'm so full, I'm ready to puke.
talk="p": 	Eww.
talk="n": 	Who's ready to party?
talk="n": 	I'm almost out of #500 bills! Better run to the bank soon.
talk="n": 	My suit suits me well, eh? Eh?
talk="n": 	I will not eat this fruitcake if it doesn't have any saffron in it!
con_mansionW.xml
==============================
talk="n": 	Money! I'd love to dance with any man that owns lots and lots of money!
talk="p": 	Excuse me.
talk="n": 	How rude! Do you know how much money I have! Enough to throw you in jail for bumping into me!
talk="n": 	Don't I look fabulous?
talk="n": 	Complement my hairdo. It's absolutely gorgeous.
talk="p": 	It does look nice.
talk="n": 	Money! I'd love to dance with any man that owns lots and lots of money!
talk="n": 	Do I hear the ringing of money?
talk="n": 	Did someone mention money? And lots of it?
talk="n": 	This music is sublime! The performer is the best on this planet!
talk="n": 	I know what it takes to be a well behaved lady.
talk="n": 	My, my. A commoner joins the party.
talk="n": 	What are you doing here in the rich people's hang out?
talk="n": 	Oh my! This story is absolutely hilarious!
con_MawChild.xml
==============================
talk="n": 	My mom and dad are always working. Yet they still find enough time to play with me.
talk="p": 	They're nice people.
talk="p": 	What do you want to be when you grow up?
talk="n": 	I haven't thought too much about it. I'm not good at philosophy like my dad or art stuff like my mom.
talk="n": 	I was going to go outside to play with my friends, but it looks like it might rain or something.
talk="p": 	I see.
con_mn1.xml
==============================
talk="n": 	Growing crops takes a lot out of you. I haven't had a break in a few days.
talk="n": 	Good day, traveler. Would you care to buy some produce?
talk="p": 	I don't have much money on me. Maybe later.
con_mn2.xml
==============================
talk="n": 	This road is well traveled on. The terrain is nice and even and the journey between towns is short.
talk="n": 	Have you been in the caves yet? They look amazing!
con_mn3.xml
==============================
talk="p": 	What's the deal over here?
talk="n": 	There's a large forest here. It's almost like a maze out of trees. Few venture into the dark canopies.
talk="p": 	Any tips for navigation?
talk="n": 	I've heard that if you see a clearing, the very left and right of the trees you can pass upwards through.
talk="p": 	Thanks!
con_mn4.xml
==============================
talk="n": 	Be careful. A magic using beast lives deeper in these woods. Turn back now if you don't want to face him.
talk="n": 	Go southwest of me to exit the forest. Go west to meet the forest clearing.
con_mn5.xml
==============================
talk="n": 	This area is really beautiful, isn't it?
talk="n": 	I'm glad I got stationed in Naibu. I wouldn't have been able to keep sane if I had to stay in Ginga another day.
con_n1.xml
==============================
talk="n": 	Hey, old sport. You want to fly on my seaplane sometime?
talk="p": 	There isn't a body of water that large nearby.
talk="n": 	It's in Ginga, old sport.
talk="p": 	I don't have a passport so I can't go.
talk="n": 	You want to come to one of my parties sometime, old sport?
talk="p": 	I'm not too much of a partier.
talk="n": 	That's a real shame, old sport.
con_n2.xml
==============================
talk="n": 	Halt! This is the police!
talk="p": 	What did I do?
talk="n": 	Nothing, I just wanted to say that once in my career.
talk="n": 	I'm currently investigating the case of the missing furniture. Have any leads?
talk="p": 	No, I don't.
con_n3.xml
==============================
talk="n": 	The church attracts followers from all over the planet.
talk="n": 	Blessed are those who commit no evil.
con_n4.xml
==============================
talk="n": 	Magic seems cool, right? But it's really the work of the Demon. Its users are not welcome here. A shame, really.
talk="n": 	I wish I could use magic...
con_n5.xml
==============================
talk="n": 	I'm a news reporter for a local paper. Can I ask you a question?
talk="n": 	Why does your family live in the town it does?
talk="p": 	We chose Mourilyan because the community seemed really open and kind.
talk="n": 	What's your favorite place to hang out?
talk="p": 	I really like sitting in the cave that's between Mourilyan and Nulato. It's really relaxing in there.
talk="n": 	Thank you for your time!
con_n6.xml
==============================
talk="n": 	Calculate the sum of my earnings.
talk="p": 	What does that even mean?
con_n7.xml
==============================
talk="n": 	This tree is huge!
talk="n": 	This town is at a crossroads so it gets a lot of traffic.
con_n8.xml
==============================
talk="n": 	Hey, lady. Want some fresh vegetables?
talk="p": 	Not right now.
talk="n": 	Remember that I have the lowest prices.
talk="n": 	I should consider raising livestock as well. Farming's fun!
con_nf1.xml
==============================
talk="n": 	I'm sorry, but you can't travel into the province of Yarl without a passport.
talk="p": 	Okay.
con_nf2.xml
==============================
talk="n": 	My apologies. I cannot allow you to pass without proper identification into the province of Ginga.
talk="p": 	Okay.
con_nf3.xml
==============================
talk="n": 	I'm standing guard at the road that connects the three provinces: Naibu, Ginga, and Yarl. Making sure no one tries any funny business.
talk="n": 	This land around here is so bland. I want to vacation to Ginga and stay at a spring. I can almost see the wonderful scenery from here.
con_nf4.xml
==============================
talk="p": 	What are you doing out here?
talk="n": 	I'm playing in the plains! It's so windy here, I almost lost my Frisbee.
talk="n": 	I've got ten apples in my basket. Two more and I'll have a dozen.
talk="p": 	What are you talking about?
talk="n": 	It's the start to a poem I'm thinking up. I'm going to be a famous poet when I grow up.
talk="p": 	I'd try a little harder if I were you. There are some real good poets out there.
con_nf5.xml
==============================
talk="n": 	Have you seen the latest movie? It killed me.
talk="p": 	Which one?
talk="n": 	I've forgotten. I never liked movies. They're too phony.
talk="n": 	You from Mourilyan?
talk="p": 	Yes. What about it?
talk="n": 	Hmmm. Just like I thought. Another phony.
talk="p": 	Don't say that when you don't know me!
con_nf6.xml
==============================
talk="n": 	I'm out here doing research for a game I'm developing. It's going to be a Metriodvania style in an open world.
talk="p": 	Sounds great!
talk="n": 	Yeah. The only problem is time. Games take forever to make. Like over two years for your average game.
talk="n": 	What's your favorite game?
talk="p": 	Well, I like RPG games. If I had to pick, I'd pick the first Professor Layton game, as it blends puzzles and story perfectly.
talk="n": 	Good choice. I personally love Final Fantasy 6.
con_nf7.xml
==============================
talk="n": 	Man, I could really go for a soda right row. It's hot in here.
talk="n": 	Ginga's such a better place than this place. I mean just look at the landscape. No wonder we get so many tourists.
con_nf8.xml
==============================
talk="p": 	What's with the turban?
talk="n": 	It's a custom of Ginga. Part of our religion, see. Can't show anything but our faces at all times when others are around.
talk="p": 	Huh.
talk="p": 	What's so good about Ginga?
talk="n": 	We were blessed with all the good land a country could get. Beautiful trees, wonderful canyons, waterfalls, and more. It's really nice.
con_nf9.xml
==============================
talk="p": 	What's Yarl like?
talk="n": 	We got lots of mountains and because of that we have many mines and raw materials. Which leads to lots of industry. The sky is always clouded with chemicals.
talk="p": 	Sounds like you shorten your life every second you are there.
talk="n": 	I am sure glad to be out of Yarl. That place is horrible.
con_nInn.xml
==============================
talk="n": 	Ya want a room?
talk="p": 	No, but--
talk="n": 	Then get outa here!
con_nInn2.xml
==============================
talk="n": 	You've got some real courage talking to me. You want to get robbed? Don't let my old appearance fool you. I'm really strong.
talk="n": 	Want to take a bet? It's really good odds for you.
talk="p": 	No thanks.
talk="n": 	Did you just say no? Tell me I heard incorrectly.
talk="p": 	I'll get going.
con_op1.xml
==============================
talk="n": 	This is a staff only room. Who let you in?
talk="n": 	This room is private. You are not permitted to be here.
con_op2.xml
==============================
talk="n": 	There's no show going on right now. Kalliope is practicing for tomorrow's performance.
con_op3.xml
==============================
talk="n": 	This place looks so cool! So gothic!
talk="n": 	I'm paying big money to make a party reservation for the next performance.
con_op4.xml
==============================
talk="n": 	I like it when they do plays here. Shakespeare is a genius when it comes to writing them.
talk="n": 	Excuse me. Do you know when the next show is?
talk="p": 	No. Why don't you ask someone who works here?
talk="n": 	Oh, sorry. I thought you worked here. You seem like a creative type.
con_op5.xml
==============================
talk="n": 	I'm Kalliope's producer. She's practicing for her next performance. Try not to disturb her.
con_op6.xml
==============================
talk="n": 	I'm Kalliope's makeup artist. Doesn't she look fab?
con_RaisWife.xml
==============================
talk="n": 	My brother always talks about you. He's really taken a liking to you.
talk="p": 	Tell him I like to be around him too.
talk="n": 	Have you tried the new pumpkin muffins they sell at the store? They're delicious!
talk="p": 	No. I'll have to try them sometime (if they're not overpriced).
talk="n": 	You won't be able to stop eating them once you start!
con_risCh.xml
==============================
talk="n": 	Wolfy is my best friend. He's so cool!
talk="n": 	Ah! I just can't beat this final boss. He's too tough.
talk="p": 	Want some help?
talk="n": 	No, girls aren't good at videogames.
talk="p": 	Sexism starts young...
con_sh.xml
==============================
talk="n": 	What's this? Letters in math? I don't get it. Is it like having tt + 3 = f?
talk="n": 	I don't want to learn about Naibian history! It's boring!
con_sh2.xml
==============================
talk="p": 	How's work on your sculpture?
talk="n": 	It's coming along well. Although I am unsure of how to do the face.
talk="p": 	That's the toughest part. I'll give you some pointers.
talk="p": 	You hand in your reflection for your painting yet?
talk="n": 	Oh, that. I was going to, but I wanted to work on my sculpture.
talk="p": 	I understand. Get it to me as soon as you can.
con_spareR.xml
==============================
talk="n": 	Hello, young lady. Would you care to go out sometime?
talk="p": 	I just met you! Maybe after we get to know each other.
talk="n": 	You're just so beautiful that I want to take you out now.
talk="p": 	It'll have to wait.
talk="n": 	What's more beautiful than a garden flower?
talk="p": 	What?
talk="n": 	Your face.
talk="p": 	That was horrible. Try harder next time.
con_spareW.xml
==============================
talk="n": 	Would you like some pound cake, dear?
talk="p": 	I'm all set. Thanks for the offer.
talk="n": 	My son would love to meet you. He's around your age, so you should get along well.
talk="p": 	I'll go speak to him.
con_store1.xml
==============================
talk="n": 	I'm here to buy some gadgets. They just don't sell stuff like this in Yarl!
talk="p": 	Yeah, they're pretty primitive. I see you eyeing the latest smartphone from Lemon.
talk="n": 	I would buy it, but I have no idea how to use it.
talk="n": 	Man, it's nice to have a break from the military. Even if it's just for an hour.
talk="p": 	Yeah, it must be hard having no free time.
con_store2.xml
==============================
talk="n": 	Hmm. What should I buy for dinner tonight?
talk="n": 	This store sells everything!
talk="n": 	I'll buy this, and this, oh and maybe that!
con_Gocha.xml
==============================
talk="p": 	Hey.
talk="n": 	Why, hello there young lady. Are you having a great day today?
talk="p": 	It's alright I guess.
talk="n": 	That's a real shame, it is. Would a caramel cream make you feel better? Take one.
talk="p": 	Thank you! You're so kind.
talk="p": 	Fantastic. How about yourself?
talk="n": 	I am enjoying the nice weather out today. The sun feels great on my skin.
talk="p": 	Even though you live in such a dark, gloomy town?
talk="n": 	Yes. This way, I don't get sunburn. That's one of the reasons I chose to move here.
talk="p": 	Hello, sir.
talk="n": 	Why, it's nice of you to visit an old man like me. Please, have a seat and I'll make some tea.
talk="p": 	I'm quite alright, thank you. (My heart is impaled with a thousand needles right now.)
talk="p": 	(Oh, no. I can't look him in the face any more. Let alone talk to him.)
talk="p": 	(How should I give this back?)
talk="p": 	(I should tell the truth.)
talk="p": 	Sir, I believe I've caused you some trouble...
talk="n": 	No, I don't think you have. Why do you say that?
talk="p": 	Well, the truth is...
talk="n": 	My dear! What a riveting tale! They should write a book on you and your adventures. I was wondering where that gemstone went. But I see now that you had good reason to take it, so there's no way I would dislike what you chose to do.
talk="p": 	(I'll make something up.)
talk="n": 	I want to give you something for returning the gemstone to me.
talk="p": 	It's alright. You don't have to--
talk="n": 	I want to give something to you. I'll be dead soon, so I want to hand out objects that will keep the memory of me living on. Please take this gift.
talk="n": 	You are always welcome here. Feel free to "chill" as the kids say.
talk="p": 	Sounds sick! Wicked! Radical!
con_Helen.xml
==============================
talk="p": 	Hey, Helen. How's life been?
talk="n": 	Howdy, Emere! It's been going swell. My boy been giving you any trouble?
talk="p": 	He's just fine. One of my better students.
talk="n": 	My Edwin just loves your class. Can't stop making art.
talk="p": 	He's got a real passion, I tell you. He'll make it big in the art world.
talk="p": 	You really sending Edwin away?
talk="n": 	He's got to learn there're consequences for every action. He doesn't do well, he needs a different environment. It's a bit more expensive to move to Ginga, but we'll manage.
talk="p": 	Understandable. (But very radical...)
talk="p": 	Do you believe Eira's messing with Edwin's grades?
talk="n": 	No! I'd never doubt the integrity of any teacher! They've good moral standards, ya know? It's just a lie Edwin made to convince me to let him stay.
talk="p": 	Understandable. (But very untrusting...)
talk="p": 	Why move Edwin if he's doing better in his other classes?
talk="n": 	Well, ya know he doesn't really connect with any other teacher besides ya. I want him to be successful in all subjects.
talk="p": 	Understandable. (But very extreme...)
talk="n": 	Edwin says he wants to speak with ya.
talk="p": 	It looks like Edwin recovered his grade at the last minute.
talk="n": 	I'm speechless, ya know? I didn't know he had it in him. Well, I guess we can stay here now. Edwin likes it here too.
talk="p": 	He's got determination when a subject is important to him. He'll do great in whatever he decides to do.
talk="n": 	Ah, you're just saying that.
con_INTRO.xml
==============================
talk="Ebisu": 	Child of light...
talk="Ebisu": 	You are a being of absolute purity, tarnished by the hand of fate.
talk="Ebisu": 	A sole lantern, covered with the mud of your neighbors.
talk="Ebisu": 	How unfortunate you are, burning where no one can see you.
talk="Ebisu": 	Daughter of the sun...
talk="Ebisu": 	You've seen sadness and suffering, your life plagued by circumstance.
talk="Ebisu": 	Never once seen the sun in all its glory.
talk="Ebisu": 	Short and long, the hours pass, yet no hope in sight for you.
talk="Ebisu": 	Ancestor to life...
talk="Ebisu": 	You've been in the darkness too long.
talk="Ebisu": 	Become awakened to a new world, and see it with your own eyes.
talk="Ebisu": 	Welcome and be welcomed to the province of Naibu, far from the dirt where you hail.
talk="Ebisu": 	Be rejuvenated, and spread your light to those who need it.
talk="Ebisu": 	Only then will you truly shine.
talk="Ebisu": 	Emere, it's time for you to awaken.
talk="Emere": 	...
talk="Emere": 	(Wow, that was a weird dream.)
talk="Emere": 	(I can't put my finger on it, but something feels different. I feel butterflies in my chest.)
talk="Emere": 	(...Maybe I'm catching a cold or something and just had a bad fever dream.)
talk="Emere": 	(Whatever, I'm hungry, I'll get some breakfast.)
con_Jacques.xml
==============================
talk="p": 	Hey, Jacques.
talk="n": 	Emere. You're looking great, as always.
talk="p": 	Always the gentleman, aren't you?
talk="n": 	Well, in the presence of such a fine lady, one can't help but be eloquent. What brings you here?
talk="p": 	I'm wondering how your father's business is going.
talk="n": 	Ah, but why talk about that when we can do something far more interesting, such as go for a walk in the local park.
talk="p": 	I'm flattered, but I've got things to do.
talk="n": 	Suit yourself. I am always available for you.
talk="n": 	Good afternoon. Would you care for a cup of tea?
talk="p": 	If you are offering...
talk="p": 	Wow! It's really good. I love the peach flavor.
talk="n": 	It's an imported from Brazil. Squeezed fresh from 100 peaches in an organic farm.
talk="p": 	Fancy!
talk="p": 	Why aren't you succeeding your father's place as heir to the company?
talk="n": 	Oh, you ask all but the easy questions! I have no interest in business. I seek to become a poet. I will be like one of the greats, Shakespeare, Frost or Poe. Just you wait!
talk="p": 	Do you have any ideas on who will take your place as heir to the company?
talk="n": 	I have suggested many to my father, as I feel a little bad leaving with no one to take my place. But, sadly, he has rejected most of them. I thought they would make wonderful replacements, especially my good friend Mao.
talk="p": 	Why her?
talk="n": 	She, quite frankly, loves our company. She has been following Lambda Drinks Corporation ever since she was 6. She would me my personal pick for the CEO.
talk="p": 	But apparently your father doesn't like her.
talk="n": 	That's not it. It's that she doesn't want the position because she feels there is someone better for it out there. I've tried to convince her otherwise, but I guess I am just not persuasive enough.
talk="p": 	That is unfortunate.
talk="p": 	Where is Mao? I'd like to talk to her.
talk="n": 	She lives in Fujita. I can't seem to remember which house, though.
talk="p": 	Thanks.
talk="n": 	You have convinced Mao! Great! Let's see what my father says...
talk="p": 	Hey, Jacques.
talk="n": 	Ah, Emere. You have come right in the middle of my writing of a new poem. Would you like to hear it so far?
talk="p": 	Sure.
talk="n": 	" The universe is on fire, exploding without flame. We are the lost ones, we are the pioneers. One last brief whisper in our loved ones' ears. To reassure them and to pierce the fear. Standing at controls then still unknown. We told the world we were about to go. "
talk="p": 	That's surprisingly dark for someone like you.
talk="n": 	I am aware. I love to capture the dark side of life, the part not seen by many.
talk="n": 	" In the harsh light of freedom I know that I cannot deny that I have wasted time. I have frittered it away in idle boasts of my freedom and fidelity, when simpler words would have profited me most... I've bogged myself down in the web of talk, quack philosophy and sophistry at physicality I've always baulked. Like the man in the chair who believes it's beyond him to walk. "
talk="p": 	Your poetry is strange. Really strange.
talk="n": 	I take that as a compliment. I treasure the fact that I write in a radically different way to any thing anyone has seen before.
talk="n": 	" Axes shattered, there is no North or South. Far off, the ice is foundering slowly. The ice is turning to water. The water rushes over all. Cities crash in the mighty wave. The final man is very small, plunging in for his final bathe. "
talk="p": 	I'm sensing a dark progressive mood from your poems.
talk="n": 	That's exactly what I'm going for.
con_Jasper.xml
==============================
talk="n": 	Good afternoon, sister. The church welcomes your presence.
talk="p": 	Good to see you.
talk="n": 	May the Great Goddess bless you and your family.
talk="p": 	Good priest, why did you exile the poor Tanvir from this peaceful village?
talk="n": 	Poor? He's a demon! One of the Demon's very own that destroys all the good the Great Goddess does! Why shouldn't I have done my part to take him away from the townspeople? Pray tell, you aren't one of the Demon's followers, are you?
talk="p": 	Not at all! I just don't believe he's done anything wrong except look the way he does. And no one can control how they look. I think it's unjust. I'd like to see the passage of the Cerzan that describes him.
talk="n": 	I'm sorry, but I can't let you do that, sister. You plan to use the Book's holy words and skew them to allow the Demon back into our town. I kindly ask you to leave.
talk="n": 	You probably got your Demonic ideas from that heretic scholar in Mourilyan...
talk="p": 	You better be ready.
talk="n": 	I don't have a clue as to what you are talking about, sister.
